2011-02-10 19:29:11 Notice: Notice (8): Undefined variable: response in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 113]
2011-02-12 17:28:03 Notice: Notice (8): Undefined variable: data in [/var/www/fasa/trunk/app/views/onereports/top_emsefors.ctp, line 48]
2011-02-12 17:28:14 Notice: Notice (8): Undefined variable: data in [/var/www/fasa/trunk/app/views/onereports/top_emsefors.ctp, line 48]
2011-02-12 17:28:41 Notice: Notice (8): Undefined variable: data in [/var/www/fasa/trunk/app/views/onereports/top_emsefors.ctp, line 48]
2011-02-12 17:28:57 Notice: Notice (8): Undefined variable: data in [/var/www/fasa/trunk/app/views/onereports/top_emsefors.ctp, line 48]
2011-02-12 17:29:45 Notice: Notice (8): Undefined variable: nombresFiliales in [/var/www/fasa/trunk/app/views/onereports/top_emsefors.ctp, line 65]
2011-02-12 17:29:45 Notice: Notice (8): Undefined variable: nombresFiliales in [/var/www/fasa/trunk/app/views/onereports/top_emsefors.ctp, line 72]
2011-02-12 17:29:45 Notice: Notice (8): Undefined variable: nombresFiliales in [/var/www/fasa/trunk/app/views/onereports/top_emsefors.ctp, line 78]
2011-02-12 17:30:25 Notice: Notice (8): Undefined variable: nombreEmsefors in [/var/www/fasa/trunk/app/views/onereports/top_emsefors.ctp, line 45]
2011-02-12 17:30:25 Notice: Notice (8): Undefined variable: nombresFiliales in [/var/www/fasa/trunk/app/views/onereports/top_emsefors.ctp, line 65]
2011-02-12 17:30:25 Notice: Notice (8): Undefined variable: nombresFiliales in [/var/www/fasa/trunk/app/views/onereports/top_emsefors.ctp, line 72]
2011-02-12 17:30:25 Notice: Notice (8): Undefined variable: nombresFiliales in [/var/www/fasa/trunk/app/views/onereports/top_emsefors.ctp, line 78]
2011-02-12 17:30:42 Notice: Notice (8): Undefined variable: nombresFiliales in [/var/www/fasa/trunk/app/views/onereports/top_emsefors.ctp, line 65]
2011-02-12 17:30:42 Notice: Notice (8): Undefined variable: nombresFiliales in [/var/www/fasa/trunk/app/views/onereports/top_emsefors.ctp, line 72]
2011-02-12 17:30:43 Notice: Notice (8): Undefined variable: nombresFiliales in [/var/www/fasa/trunk/app/views/onereports/top_emsefors.ctp, line 78]
2011-02-12 17:33:47 Notice: Notice (8): Undefined offset: 15 in [/var/www/fasa/trunk/app/views/onereports/top_emsefors.ctp, line 66]
2011-02-12 17:34:48 Notice: Notice (8): Undefined variable: nombresFiliales in [/var/www/fasa/trunk/app/views/onereports/top_emsefors.ctp, line 85]
2011-02-12 17:34:48 Notice: Notice (8): Undefined variable: nombresFiliales in [/var/www/fasa/trunk/app/views/onereports/top_emsefors.ctp, line 92]
2011-02-12 17:34:48 Notice: Notice (8): Undefined variable: nombresFiliales in [/var/www/fasa/trunk/app/views/onereports/top_emsefors.ctp, line 98]
2011-02-12 17:36:17 Notice: Notice (8): Undefined variable: nombresFiliales in [/var/www/fasa/trunk/app/views/onereports/top_emsefors.ctp, line 85]
2011-02-12 17:36:17 Notice: Notice (8): Undefined variable: nombresFiliales in [/var/www/fasa/trunk/app/views/onereports/top_emsefors.ctp, line 92]
2011-02-12 17:36:17 Notice: Notice (8): Undefined variable: nombresFiliales in [/var/www/fasa/trunk/app/views/onereports/top_emsefors.ctp, line 98]
2011-02-12 18:02:32 Notice: Notice (8): Undefined offset: 4 in [/var/www/fasa/trunk/app/views/onereports/top_emsefors.ctp, line 52]
2011-02-12 18:05:05 Notice: Notice (8): Trying to get property of non-object in [/var/www/fasa/trunk/app/vendors/jpgraph/jpgraph_bar.php, line 696]
2011-02-12 18:05:05 Notice: Notice (8): Undefined variable: b1plot in [/var/www/fasa/trunk/app/views/onereports/top_emsefors.ctp, line 64]
2011-02-12 18:05:28 Notice: Notice (8): Trying to get property of non-object in [/var/www/fasa/trunk/app/vendors/jpgraph/jpgraph_bar.php, line 696]
2011-02-12 18:06:04 Notice: Notice (8): Trying to get property of non-object in [/var/www/fasa/trunk/app/vendors/jpgraph/jpgraph_bar.php, line 696]
2011-02-12 18:07:06 Notice: Notice (8): Undefined variable: aLabelArray in [/var/www/fasa/trunk/app/vendors/jpgraph/jpgraph.php, line 3823]
2011-02-12 18:28:40 Notice: Notice (8): Undefined variable: nombresEmsefors in [/var/www/fasa/trunk/app/views/onereports/top_emsefors.ctp, line 41]
2011-02-12 18:28:51 Notice: Notice (8): Undefined variable: nombreEmsefors in [/var/www/fasa/trunk/app/views/onereports/top_emsefors.ctp, line 41]
2011-02-12 18:29:00 Notice: Notice (8): Undefined variable: nombreEmsefors in [/var/www/fasa/trunk/app/views/onereports/top_emsefors.ctp, line 41]
2011-02-14 17:51:22 Notice: Notice (8): Undefined index: ingeniero in [/var/www/fasa/trunk/app/controllers/tworeports_controller.php, line 16]
2011-02-14 17:51:45 Notice: Notice (8): Undefined index: ingeniero in [/var/www/fasa/trunk/app/controllers/tworeports_controller.php, line 16]
2011-02-14 17:52:21 Notice: Notice (8): Undefined index: ingeniero in [/var/www/fasa/trunk/app/controllers/tworeports_controller.php, line 16]
2011-02-14 17:52:37 Notice: Notice (8): Undefined index: ingeniero in [/var/www/fasa/trunk/app/controllers/tworeports_controller.php, line 16]
2011-02-14 17:53:03 Notice: Notice (8): Undefined index: ingeniero in [/var/www/fasa/trunk/app/controllers/tworeports_controller.php, line 16]
2011-02-14 17:54:01 Notice: Notice (8): Undefined index: ingeniero in [/var/www/fasa/trunk/app/controllers/tworeports_controller.php, line 16]
2011-02-14 17:54:05 Notice: Notice (8): Undefined index: ingeniero in [/var/www/fasa/trunk/app/controllers/tworeports_controller.php, line 16]
2011-02-16 00:03:51 Notice: Notice (8): Undefined index: Tworeports in [/var/www/fasa/trunk/app/controllers/tworeports_controller.php, line 376]
2011-02-16 00:04:24 Notice: Notice (8): Undefined variable: emsefors_id in [/var/www/fasa/trunk/app/views/tworeports/edit.ctp, line 81]
2011-02-16 00:05:10 Notice: Notice (8): Undefined variable: emsefors_id in [/var/www/fasa/trunk/app/views/tworeports/edit.ctp, line 82]
2011-02-16 00:07:40 Notice: Notice (8): Undefined variable: response in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 113]
2011-02-16 00:07:57 Notice: Notice (8): Undefined variable: response in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 113]
2011-02-16 00:09:54 Notice: Notice (8): Undefined variable: response in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 113]
2011-02-16 00:16:13 Notice: Notice (8): Undefined variable: response in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 113]
2011-02-16 00:17:25 Notice: Notice (8): Undefined variable: emsefor_id in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 216]
2011-02-16 00:17:32 Notice: Notice (8): Undefined variable: emsefor_id in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 216]
2011-02-16 01:01:22 Notice: Notice (8): Undefined variable: response in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 113]
2011-02-16 01:01:37 Notice: Notice (8): Undefined variable: response in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 113]
2011-02-16 01:01:54 Notice: Notice (8): Undefined variable: response in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 113]
2011-02-16 11:26:50 Notice: Notice (8): Undefined offset: 0 in [/var/www/fasa/trunk/app/controllers/tworeports_controller.php, line 103]
2011-02-16 16:03:19 Notice: Notice (8): Undefined index: 0 in [/var/www/fasa/trunk/app/views/reportes/kyk.ctp, line 5]
2011-02-16 16:10:26 Notice: Notice (8): Undefined variable: tworeport in [/var/www/fasa/trunk/app/views/tworeports/abiertas.ctp, line 1]
2011-02-16 16:10:56 Notice: Notice (8): Undefined variable: tworeport in [/var/www/fasa/trunk/app/views/tworeports/abiertas.ctp, line 1]
2011-02-16 22:15:14 Notice: Notice (8): Undefined index: ingeniero in [/var/www/fasa/trunk/app/controllers/tworeports_controller.php, line 16]
2011-02-16 22:43:56 Notice: Notice (8): Undefined variable: engineer in [/var/www/fasa/trunk/app/views/onereports/abiertas.ctp, line 72]
2011-02-16 22:43:56 Notice: Notice (8): Undefined variable: indicator in [/var/www/fasa/trunk/app/views/onereports/abiertas.ctp, line 73]
2011-02-16 22:43:56 Notice: Notice (8): Undefined variable: idea in [/var/www/fasa/trunk/app/views/onereports/abiertas.ctp, line 74]
2011-02-16 22:43:56 Notice: Notice (8): Undefined variable: carta in [/var/www/fasa/trunk/app/views/onereports/abiertas.ctp, line 75]
2011-02-16 22:43:56 Notice: Notice (8): Undefined variable: proyecto in [/var/www/fasa/trunk/app/views/onereports/abiertas.ctp, line 76]
2011-02-16 22:48:44 Notice: Notice (8): Undefined variable: engineer in [/var/www/fasa/trunk/app/views/onereports/abiertas.ctp, line 72]
2011-02-16 22:48:44 Notice: Notice (8): Undefined variable: indicator in [/var/www/fasa/trunk/app/views/onereports/abiertas.ctp, line 73]
2011-02-16 22:48:44 Notice: Notice (8): Undefined variable: idea in [/var/www/fasa/trunk/app/views/onereports/abiertas.ctp, line 74]
2011-02-16 22:48:44 Notice: Notice (8): Undefined variable: carta in [/var/www/fasa/trunk/app/views/onereports/abiertas.ctp, line 75]
2011-02-16 22:48:44 Notice: Notice (8): Undefined variable: proyecto in [/var/www/fasa/trunk/app/views/onereports/abiertas.ctp, line 76]
2011-02-16 22:49:13 Notice: Notice (8): Undefined variable: engineer in [/var/www/fasa/trunk/app/views/onereports/abiertas.ctp, line 72]
2011-02-16 22:49:13 Notice: Notice (8): Undefined variable: indicator in [/var/www/fasa/trunk/app/views/onereports/abiertas.ctp, line 73]
2011-02-16 22:49:14 Notice: Notice (8): Undefined variable: idea in [/var/www/fasa/trunk/app/views/onereports/abiertas.ctp, line 74]
2011-02-16 22:49:14 Notice: Notice (8): Undefined variable: carta in [/var/www/fasa/trunk/app/views/onereports/abiertas.ctp, line 75]
2011-02-16 22:49:14 Notice: Notice (8): Undefined variable: proyecto in [/var/www/fasa/trunk/app/views/onereports/abiertas.ctp, line 76]
2011-02-16 22:50:36 Notice: Notice (8): Undefined variable: user in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 337]
2011-02-16 22:50:36 Notice: Notice (8): Undefined offset: 0 in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 338]
2011-02-16 22:50:36 Notice: Notice (8): Undefined variable: engineer in [/var/www/fasa/trunk/app/views/onereports/abiertas.ctp, line 72]
2011-02-16 22:50:36 Notice: Notice (8): Undefined variable: indicator in [/var/www/fasa/trunk/app/views/onereports/abiertas.ctp, line 73]
2011-02-16 22:50:36 Notice: Notice (8): Undefined variable: idea in [/var/www/fasa/trunk/app/views/onereports/abiertas.ctp, line 74]
2011-02-16 22:50:36 Notice: Notice (8): Undefined variable: carta in [/var/www/fasa/trunk/app/views/onereports/abiertas.ctp, line 75]
2011-02-16 22:50:36 Notice: Notice (8): Undefined variable: proyecto in [/var/www/fasa/trunk/app/views/onereports/abiertas.ctp, line 76]
2011-02-16 22:51:50 Notice: Notice (8): Undefined variable: user in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 337]
2011-02-16 22:51:50 Notice: Notice (8): Undefined offset: 0 in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 338]
2011-02-16 22:51:50 Notice: Notice (8): Undefined variable: engineer in [/var/www/fasa/trunk/app/views/onereports/abiertas.ctp, line 72]
2011-02-16 22:51:50 Notice: Notice (8): Undefined variable: indicator in [/var/www/fasa/trunk/app/views/onereports/abiertas.ctp, line 73]
2011-02-16 22:51:50 Notice: Notice (8): Undefined variable: idea in [/var/www/fasa/trunk/app/views/onereports/abiertas.ctp, line 74]
2011-02-16 22:51:50 Notice: Notice (8): Undefined variable: carta in [/var/www/fasa/trunk/app/views/onereports/abiertas.ctp, line 75]
2011-02-16 22:51:50 Notice: Notice (8): Undefined variable: proyecto in [/var/www/fasa/trunk/app/views/onereports/abiertas.ctp, line 76]
2011-02-16 22:52:09 Notice: Notice (8): Undefined variable: user in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 337]
2011-02-16 22:52:09 Notice: Notice (8): Undefined offset: 0 in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 338]
2011-02-16 22:52:09 Notice: Notice (8): Undefined variable: engineer in [/var/www/fasa/trunk/app/views/onereports/abiertas.ctp, line 72]
2011-02-16 22:52:09 Notice: Notice (8): Undefined variable: indicator in [/var/www/fasa/trunk/app/views/onereports/abiertas.ctp, line 73]
2011-02-16 22:52:09 Notice: Notice (8): Undefined variable: idea in [/var/www/fasa/trunk/app/views/onereports/abiertas.ctp, line 74]
2011-02-16 22:52:09 Notice: Notice (8): Undefined variable: carta in [/var/www/fasa/trunk/app/views/onereports/abiertas.ctp, line 75]
2011-02-16 22:52:09 Notice: Notice (8): Undefined variable: proyecto in [/var/www/fasa/trunk/app/views/onereports/abiertas.ctp, line 76]
2011-02-16 22:52:40 Notice: Notice (8): Undefined variable: user in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 327]
2011-02-16 22:52:40 Notice: Notice (8): Undefined offset: 0 in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 328]
2011-02-16 22:52:40 Notice: Notice (8): Undefined variable: engineer in [/var/www/fasa/trunk/app/views/onereports/abiertas.ctp, line 72]
2011-02-16 22:52:40 Notice: Notice (8): Undefined variable: indicator in [/var/www/fasa/trunk/app/views/onereports/abiertas.ctp, line 73]
2011-02-16 22:52:40 Notice: Notice (8): Undefined variable: idea in [/var/www/fasa/trunk/app/views/onereports/abiertas.ctp, line 74]
2011-02-16 22:52:40 Notice: Notice (8): Undefined variable: carta in [/var/www/fasa/trunk/app/views/onereports/abiertas.ctp, line 75]
2011-02-16 22:52:40 Notice: Notice (8): Undefined variable: proyecto in [/var/www/fasa/trunk/app/views/onereports/abiertas.ctp, line 76]
2011-02-16 22:53:13 Notice: Notice (8): Undefined variable: user in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 327]
2011-02-16 22:53:13 Notice: Notice (8): Undefined offset: 0 in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 328]
2011-02-16 22:53:13 Notice: Notice (8): Undefined variable: engineer in [/var/www/fasa/trunk/app/views/onereports/abiertas.ctp, line 72]
2011-02-16 22:53:13 Notice: Notice (8): Undefined variable: indicator in [/var/www/fasa/trunk/app/views/onereports/abiertas.ctp, line 73]
2011-02-16 22:53:13 Notice: Notice (8): Undefined variable: idea in [/var/www/fasa/trunk/app/views/onereports/abiertas.ctp, line 74]
2011-02-16 22:53:13 Notice: Notice (8): Undefined variable: carta in [/var/www/fasa/trunk/app/views/onereports/abiertas.ctp, line 75]
2011-02-16 22:53:13 Notice: Notice (8): Undefined variable: proyecto in [/var/www/fasa/trunk/app/views/onereports/abiertas.ctp, line 76]
2011-02-16 22:53:24 Notice: Notice (8): Undefined variable: engineer in [/var/www/fasa/trunk/app/views/onereports/abiertas.ctp, line 72]
2011-02-16 22:53:24 Notice: Notice (8): Undefined variable: indicator in [/var/www/fasa/trunk/app/views/onereports/abiertas.ctp, line 73]
2011-02-16 22:53:25 Notice: Notice (8): Undefined variable: idea in [/var/www/fasa/trunk/app/views/onereports/abiertas.ctp, line 74]
2011-02-16 22:53:25 Notice: Notice (8): Undefined variable: carta in [/var/www/fasa/trunk/app/views/onereports/abiertas.ctp, line 75]
2011-02-16 22:53:25 Notice: Notice (8): Undefined variable: proyecto in [/var/www/fasa/trunk/app/views/onereports/abiertas.ctp, line 76]
2011-02-16 23:01:04 Notice: Notice (8): Undefined index: ingeniero in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 305]
2011-02-17 22:28:23 Notice: Notice (8): Undefined variable: fee in [/var/www/fasa/trunk/app/controllers/tworeports_controller.php, line 649]
